sex,x,log_mx_std
Female,69.5,-4.18297185455251
Female,70.5,-4.08528689192551
Female,71.5,-3.99880121866971
Female,72.5,-3.91949134071194
Female,73.5,-3.83833839831609
Female,74.5,-3.74701325176086
Female,75.5,-3.64284902290139
Female,76.5,-3.53006482324818
Female,77.5,-3.4166357360473
Female,78.5,-3.30893772686735
Female,79.5,-3.2076275391374
Female,80.5,-3.10735153801634
Female,81.5,-3.00040175343045
Female,82.5,-2.88193119251844
Female,83.5,-2.75337482511165
Female,84.5,-2.62188249122946
Female,85.5,-2.49610406748762
Female,86.5,-2.3809735063277
Female,87.5,-2.27477265341866
Female,88.5,-2.17033064845506
Female,89.5,-2.0596314521558
Female,90.5,-1.93897820592723
Female,91.5,-1.81151972916776
Female,92.5,-1.68558588525533
Female,93.5,-1.56987351747793
Female,94.5,-1.46845649437923
Female,95.5,-1.37866952410468
Female,96.5,-1.29310564425338
Female,97.5,-1.20441376812885
Female,98.5,-1.10987973408076
Female,99.5,-1.01297168250586
Female,100.5,-0.92299267152827
Female,101.5,-0.845161664634927
Female,102.5,-0.776801087456349
Female,103.5,-0.71226377126593
Female,104.5,-0.648073158532533
Female,105.5,-0.585069217817627
Female,106.5,-0.528525795281312
Female,107.5,-0.476229387387818
Female,108.5,-0.428063267530942
Female,109.5,-0.383880932449528
Female,110.5,-0.343510630000393
Female,111.5,-0.306760345001069
Total,0.2,-5.55356811422798
Total,1.5,-7.01312940012026
Total,2.5,-7.95317335854971
Total,3.5,-8.61061348440952
Total,4.5,-8.94906510669408
Total,5.5,-9.0252107953922
Total,6.5,-8.95960744084809
Total,7.5,-8.88009415884256
Total,8.5,-8.86765076435708
Total,9.5,-8.92989375738157
Total,10.5,-9.01159548242326
Total,11.5,-9.03296491374953
Total,12.5,-8.9341764395663
Total,13.5,-8.7041706378137
Total,14.5,-8.38212865774328
Total,15.5,-8.03490847780445
Total,16.5,-7.72511324036253
Total,17.5,-7.48694150759331
Total,18.5,-7.32034190410004
Total,19.5,-7.20285541724359
Total,20.5,-7.10935004951711
Total,21.5,-7.02731273843154
Total,22.5,-6.95998643549908
Total,23.5,-6.91793397296216
Total,24.5,-6.90641884802069
Total,25.5,-6.91756564079086
Total,26.5,-6.93225482435485
Total,27.5,-6.93006305070565
Total,28.5,-6.90051403481488
Total,29.5,-6.84838946501457
Total,30.5,-6.78986216932511
Total,31.5,-6.74202794829624
Total,32.5,-6.71238221106763
Total,33.5,-6.69458737375291
Total,34.5,-6.67282304555872
Total,35.5,-6.63173212867317
Total,36.5,-6.56571842101397
Total,37.5,-6.48199775764199
Total,38.5,-6.39580351482791
Total,39.5,-6.32095030436708
Total,40.5,-6.26163901569507
Total,41.5,-6.21041088207426
Total,42.5,-6.15325843395887
Total,43.5,-6.0785406608478
Total,44.5,-5.98417556131996
Total,45.5,-5.87882542702096
Total,46.5,-5.77657327870579
Total,47.5,-5.68853674530838
Total,48.5,-5.61658830119948
Total,49.5,-5.55288666168376
Total,50.5,-5.48527106810373
Total,51.5,-5.40501533357407
Total,52.5,-5.31213225289293
Total,53.5,-5.21507835531356
Total,54.5,-5.1252298707498
Total,55.5,-5.04968450950715
Total,56.5,-4.98686397990572
Total,57.5,-4.92755572821464
Total,58.5,-4.86063592935814
Total,59.5,-4.77987066898692
Total,60.5,-4.68761618113309
Total,61.5,-4.59322317645997
Total,62.5,-4.50722152051648
Total,63.5,-4.43489805881899
Total,64.5,-4.37316049472936
Total,65.5,-4.31249340342397
Total,66.5,-4.2426886886357
Total,67.5,-4.15879536652155
Total,68.5,-4.06371388166615
Total,69.5,-3.9660043819162
Total,70.5,-3.87441872849979
Total,71.5,-3.79259061557797
Total,72.5,-3.71708815194812
Total,73.5,-3.63985890870965
Total,74.5,-3.55337155899938
Total,75.5,-3.45517004003159
Total,76.5,-3.3490465361641
Total,77.5,-3.24224250204872
Total,78.5,-3.14058876957869
Total,79.5,-3.04473404532993
Total,80.5,-2.94984494100094
Total,81.5,-2.84891246246156
